path,label,signer
dataset\raw\bathroom\sample_022_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_006_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_023_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_003_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_014_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_012_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_018_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_009_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_019_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_029_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_028_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_024_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_030_mike.npz,bathroom,mike
dataset\raw\bathroom\sample_075_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_063_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_087_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_065_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_061_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_083_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_079_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_081_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_071_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_085_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_077_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_076_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_090_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_064_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_080_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_086_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_069_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_072_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_068_wj.npz,bathroom,wj
dataset\raw\bathroom\sample_089_wj.npz,bathroom,wj
dataset\raw\book\sample_053_matt.npz,book,matt
dataset\raw\book\sample_031_matt.npz,book,matt
dataset\raw\book\sample_059_matt.npz,book,matt
dataset\raw\book\sample_047_matt.npz,book,matt
dataset\raw\book\sample_039_matt.npz,book,matt
dataset\raw\book\sample_049_matt.npz,book,matt
dataset\raw\book\sample_046_matt.npz,book,matt
dataset\raw\book\sample_057_matt.npz,book,matt
dataset\raw\book\sample_058_matt.npz,book,matt
dataset\raw\book\sample_042_matt.npz,book,matt
dataset\raw\book\sample_054_matt.npz,book,matt
dataset\raw\book\sample_035_matt.npz,book,matt
dataset\raw\book\sample_041_matt.npz,book,matt
dataset\raw\book\sample_037_matt.npz,book,matt
dataset\raw\book\sample_032_matt.npz,book,matt
dataset\raw\book\sample_050_matt.npz,book,matt
dataset\raw\book\sample_044_matt.npz,book,matt
dataset\raw\book\sample_034_matt.npz,book,matt
dataset\raw\book\sample_045_matt.npz,book,matt
dataset\raw\book\sample_043_matt.npz,book,matt
dataset\raw\book\sample_023_mike.npz,book,mike
dataset\raw\book\sample_012_mike.npz,book,mike
dataset\raw\book\sample_014_mike.npz,book,mike
dataset\raw\book\sample_006_mike.npz,book,mike
dataset\raw\book\sample_021_mike.npz,book,mike
dataset\raw\book\sample_024_mike.npz,book,mike
dataset\raw\book\sample_030_mike.npz,book,mike
dataset\raw\book\sample_020_mike.npz,book,mike
dataset\raw\book\sample_019_mike.npz,book,mike
dataset\raw\book\sample_028_mike.npz,book,mike
dataset\raw\book\sample_017_mike.npz,book,mike
dataset\raw\book\sample_027_mike.npz,book,mike
dataset\raw\book\sample_007_mike.npz,book,mike
dataset\raw\book\sample_008_mike.npz,book,mike
dataset\raw\book\sample_002_mike.npz,book,mike
dataset\raw\book\sample_015_mike.npz,book,mike
dataset\raw\book\sample_009_mike.npz,book,mike
dataset\raw\book\sample_022_mike.npz,book,mike
dataset\raw\book\sample_025_mike.npz,book,mike
dataset\raw\book\sample_010_mike.npz,book,mike
dataset\raw\book\sample_078_wj.npz,book,wj
dataset\raw\book\sample_061_wj.npz,book,wj
dataset\raw\book\sample_068_wj.npz,book,wj
dataset\raw\book\sample_086_wj.npz,book,wj
dataset\raw\book\sample_083_wj.npz,book,wj
dataset\raw\book\sample_070_wj.npz,book,wj
dataset\raw\book\sample_085_wj.npz,book,wj
dataset\raw\book\sample_082_wj.npz,book,wj
dataset\raw\book\sample_074_wj.npz,book,wj
dataset\raw\book\sample_084_wj.npz,book,wj
dataset\raw\book\sample_087_wj.npz,book,wj
dataset\raw\book\sample_069_wj.npz,book,wj
dataset\raw\book\sample_090_wj.npz,book,wj
dataset\raw\book\sample_064_wj.npz,book,wj
dataset\raw\book\sample_079_wj.npz,book,wj
dataset\raw\book\sample_088_wj.npz,book,wj
dataset\raw\book\sample_072_wj.npz,book,wj
dataset\raw\book\sample_075_wj.npz,book,wj
dataset\raw\book\sample_065_wj.npz,book,wj
dataset\raw\book\sample_067_wj.npz,book,wj
dataset\raw\city\sample_042_matt.npz,city,matt
dataset\raw\city\sample_032_matt.npz,city,matt
dataset\raw\city\sample_053_matt.npz,city,matt
dataset\raw\city\sample_057_matt.npz,city,matt
dataset\raw\city\sample_058_matt.npz,city,matt
dataset\raw\city\sample_035_matt.npz,city,matt
dataset\raw\city\sample_056_matt.npz,city,matt
dataset\raw\city\sample_041_matt.npz,city,matt
dataset\raw\city\sample_047_matt.npz,city,matt
dataset\raw\city\sample_045_matt.npz,city,matt
dataset\raw\city\sample_033_matt.npz,city,matt
dataset\raw\city\sample_044_matt.npz,city,matt
dataset\raw\city\sample_052_matt.npz,city,matt
dataset\raw\city\sample_060_matt.npz,city,matt
dataset\raw\city\sample_031_matt.npz,city,matt
dataset\raw\city\sample_043_matt.npz,city,matt
dataset\raw\city\sample_046_matt.npz,city,matt
dataset\raw\city\sample_034_matt.npz,city,matt
dataset\raw\city\sample_051_matt.npz,city,matt
dataset\raw\city\sample_048_matt.npz,city,matt
dataset\raw\city\sample_005_mike.npz,city,mike
dataset\raw\city\sample_021_mike.npz,city,mike
dataset\raw\city\sample_016_mike.npz,city,mike
dataset\raw\city\sample_015_mike.npz,city,mike
dataset\raw\city\sample_013_mike.npz,city,mike
dataset\raw\city\sample_025_mike.npz,city,mike
dataset\raw\city\sample_017_mike.npz,city,mike
dataset\raw\city\sample_030_mike.npz,city,mike
dataset\raw\city\sample_002_mike.npz,city,mike
dataset\raw\city\sample_011_mike.npz,city,mike
dataset\raw\city\sample_007_mike.npz,city,mike
dataset\raw\city\sample_023_mike.npz,city,mike
dataset\raw\city\sample_020_mike.npz,city,mike
dataset\raw\city\sample_026_mike.npz,city,mike
dataset\raw\city\sample_008_mike.npz,city,mike
dataset\raw\city\sample_004_mike.npz,city,mike
dataset\raw\city\sample_012_mike.npz,city,mike
dataset\raw\city\sample_010_mike.npz,city,mike
dataset\raw\city\sample_014_mike.npz,city,mike
dataset\raw\city\sample_003_mike.npz,city,mike
dataset\raw\city\sample_077_wj.npz,city,wj
dataset\raw\city\sample_067_wj.npz,city,wj
dataset\raw\city\sample_075_wj.npz,city,wj
dataset\raw\city\sample_074_wj.npz,city,wj
dataset\raw\city\sample_065_wj.npz,city,wj
dataset\raw\city\sample_083_wj.npz,city,wj
dataset\raw\city\sample_089_wj.npz,city,wj
dataset\raw\city\sample_082_wj.npz,city,wj
dataset\raw\city\sample_078_wj.npz,city,wj
dataset\raw\city\sample_064_wj.npz,city,wj
dataset\raw\city\sample_073_wj.npz,city,wj
dataset\raw\city\sample_087_wj.npz,city,wj
dataset\raw\city\sample_085_wj.npz,city,wj
dataset\raw\city\sample_081_wj.npz,city,wj
dataset\raw\city\sample_076_wj.npz,city,wj
dataset\raw\city\sample_080_wj.npz,city,wj
dataset\raw\city\sample_063_wj.npz,city,wj
dataset\raw\city\sample_061_wj.npz,city,wj
dataset\raw\city\sample_088_wj.npz,city,wj
dataset\raw\city\sample_079_wj.npz,city,wj
dataset\raw\come\sample_050_matt.npz,come,matt
dataset\raw\come\sample_056_matt.npz,come,matt
dataset\raw\come\sample_040_matt.npz,come,matt
dataset\raw\come\sample_055_matt.npz,come,matt
dataset\raw\come\sample_037_matt.npz,come,matt
dataset\raw\come\sample_043_matt.npz,come,matt
dataset\raw\come\sample_039_matt.npz,come,matt
dataset\raw\come\sample_051_matt.npz,come,matt
dataset\raw\come\sample_046_matt.npz,come,matt
dataset\raw\come\sample_031_matt.npz,come,matt
dataset\raw\come\sample_032_matt.npz,come,matt
dataset\raw\come\sample_044_matt.npz,come,matt
dataset\raw\come\sample_058_matt.npz,come,matt
dataset\raw\come\sample_054_matt.npz,come,matt
dataset\raw\come\sample_033_matt.npz,come,matt
dataset\raw\come\sample_047_matt.npz,come,matt
dataset\raw\come\sample_052_matt.npz,come,matt
dataset\raw\come\sample_038_matt.npz,come,matt
dataset\raw\come\sample_042_matt.npz,come,matt
dataset\raw\come\sample_041_matt.npz,come,matt
dataset\raw\come\sample_025_mike.npz,come,mike
dataset\raw\come\sample_030_mike.npz,come,mike
dataset\raw\come\sample_017_mike.npz,come,mike
dataset\raw\come\sample_026_mike.npz,come,mike
dataset\raw\come\sample_015_mike.npz,come,mike
dataset\raw\come\sample_028_mike.npz,come,mike
dataset\raw\come\sample_011_mike.npz,come,mike
dataset\raw\come\sample_010_mike.npz,come,mike
dataset\raw\come\sample_023_mike.npz,come,mike
dataset\raw\come\sample_022_mike.npz,come,mike
dataset\raw\come\sample_014_mike.npz,come,mike
dataset\raw\come\sample_013_mike.npz,come,mike
dataset\raw\come\sample_021_mike.npz,come,mike
dataset\raw\come\sample_005_mike.npz,come,mike
dataset\raw\come\sample_012_mike.npz,come,mike
dataset\raw\come\sample_009_mike.npz,come,mike
dataset\raw\come\sample_007_mike.npz,come,mike
dataset\raw\come\sample_020_mike.npz,come,mike
dataset\raw\come\sample_006_mike.npz,come,mike
dataset\raw\come\sample_019_mike.npz,come,mike
dataset\raw\come\sample_069_wj.npz,come,wj
dataset\raw\come\sample_065_wj.npz,come,wj
dataset\raw\come\sample_074_wj.npz,come,wj
dataset\raw\come\sample_068_wj.npz,come,wj
dataset\raw\come\sample_062_wj.npz,come,wj
dataset\raw\come\sample_087_wj.npz,come,wj
dataset\raw\come\sample_070_wj.npz,come,wj
dataset\raw\come\sample_073_wj.npz,come,wj
dataset\raw\come\sample_089_wj.npz,come,wj
dataset\raw\come\sample_075_wj.npz,come,wj
dataset\raw\come\sample_071_wj.npz,come,wj
dataset\raw\come\sample_079_wj.npz,come,wj
dataset\raw\come\sample_072_wj.npz,come,wj
dataset\raw\come\sample_076_wj.npz,come,wj
dataset\raw\come\sample_084_wj.npz,come,wj
dataset\raw\come\sample_081_wj.npz,come,wj
dataset\raw\come\sample_063_wj.npz,come,wj
dataset\raw\come\sample_090_wj.npz,come,wj
dataset\raw\come\sample_082_wj.npz,come,wj
dataset\raw\come\sample_085_wj.npz,come,wj
dataset\raw\drink\sample_051_matt.npz,drink,matt
dataset\raw\drink\sample_053_matt.npz,drink,matt
dataset\raw\drink\sample_041_matt.npz,drink,matt
dataset\raw\drink\sample_034_matt.npz,drink,matt
dataset\raw\drink\sample_031_matt.npz,drink,matt
dataset\raw\drink\sample_058_matt.npz,drink,matt
dataset\raw\drink\sample_056_matt.npz,drink,matt
dataset\raw\drink\sample_035_matt.npz,drink,matt
dataset\raw\drink\sample_036_matt.npz,drink,matt
dataset\raw\drink\sample_049_matt.npz,drink,matt
dataset\raw\drink\sample_050_matt.npz,drink,matt
dataset\raw\drink\sample_047_matt.npz,drink,matt
dataset\raw\drink\sample_052_matt.npz,drink,matt
dataset\raw\drink\sample_038_matt.npz,drink,matt
dataset\raw\drink\sample_032_matt.npz,drink,matt
dataset\raw\drink\sample_033_matt.npz,drink,matt
dataset\raw\drink\sample_054_matt.npz,drink,matt
dataset\raw\drink\sample_043_matt.npz,drink,matt
dataset\raw\drink\sample_040_matt.npz,drink,matt
dataset\raw\drink\sample_039_matt.npz,drink,matt
dataset\raw\drink\sample_006_mike.npz,drink,mike
dataset\raw\drink\sample_018_mike.npz,drink,mike
dataset\raw\drink\sample_012_mike.npz,drink,mike
dataset\raw\drink\sample_008_mike.npz,drink,mike
dataset\raw\drink\sample_017_mike.npz,drink,mike
dataset\raw\drink\sample_019_mike.npz,drink,mike
dataset\raw\drink\sample_028_mike.npz,drink,mike
dataset\raw\drink\sample_029_mike.npz,drink,mike
dataset\raw\drink\sample_001_mike.npz,drink,mike
dataset\raw\drink\sample_007_mike.npz,drink,mike
dataset\raw\drink\sample_027_mike.npz,drink,mike
dataset\raw\drink\sample_021_mike.npz,drink,mike
dataset\raw\drink\sample_005_mike.npz,drink,mike
dataset\raw\drink\sample_022_mike.npz,drink,mike
dataset\raw\drink\sample_011_mike.npz,drink,mike
dataset\raw\drink\sample_010_mike.npz,drink,mike
dataset\raw\drink\sample_015_mike.npz,drink,mike
dataset\raw\drink\sample_020_mike.npz,drink,mike
dataset\raw\drink\sample_004_mike.npz,drink,mike
dataset\raw\drink\sample_002_mike.npz,drink,mike
dataset\raw\drink\sample_074_wj.npz,drink,wj
dataset\raw\drink\sample_084_wj.npz,drink,wj
dataset\raw\drink\sample_089_wj.npz,drink,wj
dataset\raw\drink\sample_066_wj.npz,drink,wj
dataset\raw\drink\sample_072_wj.npz,drink,wj
dataset\raw\drink\sample_079_wj.npz,drink,wj
dataset\raw\drink\sample_090_wj.npz,drink,wj
dataset\raw\drink\sample_064_wj.npz,drink,wj
dataset\raw\drink\sample_080_wj.npz,drink,wj
dataset\raw\drink\sample_078_wj.npz,drink,wj
dataset\raw\drink\sample_076_wj.npz,drink,wj
dataset\raw\drink\sample_087_wj.npz,drink,wj
dataset\raw\drink\sample_068_wj.npz,drink,wj
dataset\raw\drink\sample_073_wj.npz,drink,wj
dataset\raw\drink\sample_085_wj.npz,drink,wj
dataset\raw\drink\sample_088_wj.npz,drink,wj
dataset\raw\drink\sample_069_wj.npz,drink,wj
dataset\raw\drink\sample_070_wj.npz,drink,wj
dataset\raw\drink\sample_086_wj.npz,drink,wj
dataset\raw\drink\sample_062_wj.npz,drink,wj
dataset\raw\eat\sample_049_matt.npz,eat,matt
dataset\raw\eat\sample_046_matt.npz,eat,matt
dataset\raw\eat\sample_058_matt.npz,eat,matt
dataset\raw\eat\sample_034_matt.npz,eat,matt
dataset\raw\eat\sample_060_matt.npz,eat,matt
dataset\raw\eat\sample_050_matt.npz,eat,matt
dataset\raw\eat\sample_048_matt.npz,eat,matt
dataset\raw\eat\sample_051_matt.npz,eat,matt
dataset\raw\eat\sample_038_matt.npz,eat,matt
dataset\raw\eat\sample_033_matt.npz,eat,matt
dataset\raw\eat\sample_042_matt.npz,eat,matt
dataset\raw\eat\sample_053_matt.npz,eat,matt
dataset\raw\eat\sample_039_matt.npz,eat,matt
dataset\raw\eat\sample_045_matt.npz,eat,matt
dataset\raw\eat\sample_031_matt.npz,eat,matt
dataset\raw\eat\sample_047_matt.npz,eat,matt
dataset\raw\eat\sample_054_matt.npz,eat,matt
dataset\raw\eat\sample_059_matt.npz,eat,matt
dataset\raw\eat\sample_037_matt.npz,eat,matt
dataset\raw\eat\sample_040_matt.npz,eat,matt
dataset\raw\eat\sample_021_mike.npz,eat,mike
dataset\raw\eat\sample_025_mike.npz,eat,mike
dataset\raw\eat\sample_006_mike.npz,eat,mike
dataset\raw\eat\sample_028_mike.npz,eat,mike
dataset\raw\eat\sample_030_mike.npz,eat,mike
dataset\raw\eat\sample_008_mike.npz,eat,mike
dataset\raw\eat\sample_022_mike.npz,eat,mike
dataset\raw\eat\sample_019_mike.npz,eat,mike
dataset\raw\eat\sample_003_mike.npz,eat,mike
dataset\raw\eat\sample_011_mike.npz,eat,mike
dataset\raw\eat\sample_018_mike.npz,eat,mike
dataset\raw\eat\sample_005_mike.npz,eat,mike
dataset\raw\eat\sample_009_mike.npz,eat,mike
dataset\raw\eat\sample_013_mike.npz,eat,mike
dataset\raw\eat\sample_010_mike.npz,eat,mike
dataset\raw\eat\sample_001_mike.npz,eat,mike
dataset\raw\eat\sample_020_mike.npz,eat,mike
dataset\raw\eat\sample_024_mike.npz,eat,mike
dataset\raw\eat\sample_027_mike.npz,eat,mike
dataset\raw\eat\sample_029_mike.npz,eat,mike
dataset\raw\eat\sample_063_wj.npz,eat,wj
dataset\raw\eat\sample_086_wj.npz,eat,wj
dataset\raw\eat\sample_072_wj.npz,eat,wj
dataset\raw\eat\sample_078_wj.npz,eat,wj
dataset\raw\eat\sample_088_wj.npz,eat,wj
dataset\raw\eat\sample_064_wj.npz,eat,wj
dataset\raw\eat\sample_079_wj.npz,eat,wj
dataset\raw\eat\sample_068_wj.npz,eat,wj
dataset\raw\eat\sample_071_wj.npz,eat,wj
dataset\raw\eat\sample_070_wj.npz,eat,wj
dataset\raw\eat\sample_090_wj.npz,eat,wj
dataset\raw\eat\sample_076_wj.npz,eat,wj
dataset\raw\eat\sample_089_wj.npz,eat,wj
dataset\raw\eat\sample_084_wj.npz,eat,wj
dataset\raw\eat\sample_085_wj.npz,eat,wj
dataset\raw\eat\sample_075_wj.npz,eat,wj
dataset\raw\eat\sample_066_wj.npz,eat,wj
dataset\raw\eat\sample_074_wj.npz,eat,wj
dataset\raw\eat\sample_082_wj.npz,eat,wj
dataset\raw\eat\sample_081_wj.npz,eat,wj
dataset\raw\excuse_me\sample_053_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_036_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_044_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_057_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_059_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_054_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_040_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_032_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_042_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_031_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_038_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_037_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_041_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_052_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_055_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_039_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_034_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_043_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_050_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_060_matt.npz,excuse_me,matt
dataset\raw\excuse_me\sample_015_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_018_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_004_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_022_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_010_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_012_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_026_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_023_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_007_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_020_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_016_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_030_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_014_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_013_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_009_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_025_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_021_mike.npz,excuse_me,mike
dataset\raw\excuse_me\sample_028_mike.npz,excuse_me,mike
